epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,20968.1,0.9555,0.95198,1.10456,0.76713,0.61546,0.6823,0.50717,0.94709,0.99008,1.08112,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,21280.3,0.95365,0.93641,1.09863,0.76724,0.61464,0.68239,0.50712,0.94665,0.98984,1.08056,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,21589.9,0.94839,0.931,1.09814,0.76121,0.61658,0.68229,0.50664,0.94633,0.99037,1.08031,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,21900.9,0.94227,0.92002,1.09341,0.76107,0.61687,0.6819,0.50635,0.94642,0.99073,1.08031,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,22211.4,0.93881,0.91712,1.09086,0.76116,0.61689,0.68155,0.50607,0.94682,0.99177,1.08034,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,22523.7,0.93184,0.90524,1.0889,0.76459,0.61434,0.6812,0.50561,0.94712,0.99095,1.08055,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,22835.3,0.92741,0.90167,1.08626,0.76359,0.61691,0.68115,0.5054,0.9475,0.9914,1.08095,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,23146.8,0.92618,0.89717,1.08629,0.76385,0.61594,0.68106,0.50519,0.9478,0.99164,1.08106,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,23458.5,0.92328,0.87871,1.08451,0.76911,0.61142,0.68039,0.50491,0.94816,0.99242,1.08111,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,23769.4,0.91668,0.87277,1.07883,0.76891,0.61191,0.68039,0.50497,0.94825,0.99301,1.08099,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,24081,0.91842,0.87669,1.08152,0.76993,0.61132,0.67956,0.50516,0.94802,0.99401,1.0808,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,24397.8,0.90887,0.86201,1.07742,0.77256,0.61043,0.68043,0.50503,0.948,0.99498,1.08086,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,24711.1,0.90897,0.85455,1.07393,0.77061,0.60912,0.6802,0.50518,0.94833,0.99638,1.0809,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,25024,0.90385,0.85711,1.07588,0.77469,0.6075,0.68072,0.50559,0.94783,0.99763,1.08041,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,25336.7,0.90064,0.84821,1.07196,0.77376,0.60708,0.68045,0.50536,0.94808,0.99857,1.08038,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,25658.2,0.89845,0.83552,1.06874,0.77594,0.60626,0.68035,0.50551,0.94836,1,1.08062,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,25971.1,0.89877,0.83278,1.07165,0.77153,0.60868,0.67978,0.50539,0.94826,1.00099,1.08056,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
82,26283.1,0.89182,0.83462,1.06786,0.77448,0.60771,0.6795,0.50509,0.94869,1.00199,1.08068,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
83,26595.8,0.88565,0.81833,1.06297,0.77551,0.60416,0.67877,0.50508,0.94878,1.00283,1.08094,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
84,26908.5,0.89035,0.81889,1.06169,0.77554,0.6041,0.67865,0.50481,0.94863,1.00389,1.08037,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
85,27220.6,0.88642,0.81488,1.06288,0.77336,0.60457,0.67841,0.50453,0.94927,1.00503,1.08087,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,27553.9,0.77874,0.59889,0.98019,0.77363,0.60579,0.67805,0.50426,0.94957,1.00674,1.08077,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
87,27862.4,0.76916,0.5789,0.97342,0.77425,0.60499,0.6779,0.50373,0.94996,1.00861,1.08082,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
88,28170.4,0.7636,0.56731,0.97113,0.77481,0.60373,0.67755,0.50324,0.95016,1.01037,1.08107,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
89,28478,0.75997,0.56114,0.97054,0.77637,0.60267,0.6772,0.50307,0.95035,1.01245,1.08116,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,28784.2,0.75537,0.55473,0.96918,0.77457,0.60399,0.67659,0.50263,0.95101,1.0145,1.08147,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
91,29091.2,0.7521,0.54811,0.96605,0.77398,0.60365,0.67591,0.50233,0.95129,1.01556,1.08161,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
92,29398.4,0.74853,0.54098,0.96212,0.77419,0.60254,0.67597,0.50228,0.95176,1.0177,1.08218,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
93,29706.3,0.7468,0.53789,0.96319,0.77758,0.60108,0.67561,0.50186,0.95207,1.01915,1.0823,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
94,30014.9,0.74506,0.53848,0.9628,0.77569,0.60109,0.67456,0.5014,0.95276,1.02098,1.08295,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
95,30324.3,0.73895,0.5303,0.95793,0.77376,0.60138,0.6745,0.50142,0.95339,1.02265,1.08335,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
